partner,habitat,species,mean_confidence,median_confidence,min_confidence,max_confidence,sd_confidence,n_recordings
belgium,F,Erithacus rubecula_European Robin,0.8000709778903162,0.791136771440506,0.633101522922516,0.999278247356415,0.10858614603214589,2720
belgium,F,Falco subbuteo_Eurasian Hobby,0.9422659675280254,0.96504819393158,0.881948411464691,0.979801297187805,0.05275480253979078,3
belgium,F,Ficedula albicollis_Collared Flycatcher,0.7855511478015355,0.771803140640259,0.737280607223511,0.838905870914459,0.04147080677190081,7
belgium,F,Ficedula hypoleuca_European Pied Flycatcher,0.8864925710054544,0.902534395456314,0.712772607803345,0.971442818641663,0.0683545525025619,26
belgium,F,Fringilla coelebs_Common Chaffinch,0.672704159393223,0.6446825563907626,0.500074744224548,0.994813799858093,0.13340310650411624,436
belgium,F,Fringilla montifringilla_Brambling,0.8372571170330048,0.8045623600482941,0.744409501552582,0.995494246482849,0.11417697385242463,4
belgium,F,Fulica atra_Eurasian Coot,0.870548529284341,0.865525007247925,0.707196116447449,0.999463498592377,0.09873963294534348,49
belgium,F,Gallinula chloropus_Eurasian Moorhen,0.8798406711766418,0.871512115001678,0.700476050376892,0.999786198139191,0.09822045262534676,71
belgium,F,Garrulus glandarius_Eurasian Jay,0.7826902527435153,0.782550692558289,0.531144201755524,0.996232092380524,0.14312840122369302,306
belgium,F,Grus grus_Common Crane,0.83129286766052235,0.795745730400085,0.785557925701141,0.912574946880341,0.07057641350244864,3
belgium,F,Haematopus ostralegus_Eurasian Oystercatcher,0.850592037041982,0.855665147304535,0.807125151157379,0.888985812664032,0.041165450457619414,3
belgium,F,Locustella luscinioides_Savi's Warbler,0.732940316200256,0.732940316200256,0.732940316200256,0.732940316200256,NA,1
belgium,F,Locustella naevia_Common Grasshopper-Warbler,0.742212176322937,0.742212176322937,0.742212176322937,0.742212176322937,NA,1
belgium,F,Mareca strepera_Gadwall,0.8319985419511795,0.8224211037158965,0.752341091632843,0.930810868740082,0.07432390606638463,4
belgium,F,Motacilla alba_White Wagtail,0.7743669549624124,0.750061750411987,0.689665853977203,0.883373260498047,0.09911456533444712,3
belgium,F,Motacilla cinerea_Gray Wagtail,0.820754885673523,0.820754885673523,0.810322225093842,0.831187546253204,0.014754010083420038,2
belgium,F,Muscicapa striata_Spotted Flycatcher,0.810010561258486,0.801479578018188,0.700989603996277,0.978374242782593,0.07514915059289641,101
belgium,F,Nucifraga caryocatactes_Eurasian Nutcracker,0.790512204170227,0.790512204170227,0.790512204170227,0.790512204170227,NA,1
belgium,F,Numenius arquata_Eurasian Curlew,0.7902634292840955,0.753710091114044,0.716448843479156,0.937184691429138,0.10247950423478655,4
belgium,F,Numenius phaeopus_Whimbrel,0.8465314166886464,0.879052758216858,0.72589099407196,0.934645116329193,0.08693545688786891,7
belgium,F,Nycticorax nycticorax_Black-crowned Night-Heron,0.8403124357091969,0.831820547580719,0.716213822364807,0.9941166639328,0.09408587573391647,29
belgium,F,Oriolus oriolus_Eurasian Golden Oriole,0.7881456514199575,0.784918427467346,0.718611299991608,0.913872539997101,0.05791523012408992,12
belgium,F,Otus scops_Eurasian Scops-Owl,0.8721095745156452,0.904974460601807,0.703620493412018,0.996332883834839,0.09063198885577772,41
